road_id,road_name,neighbourhood,hour,speed_limit,avg_speed,volume,capacity,incident_count,incident_text,incident_weight
R004,Nungambakkam_Rd_4,Nungambakkam,3,40,17.0,1104,1543,1,slow traffic near junction,1
R004,Nungambakkam_Rd_4,Nungambakkam,4,40,17.8,861,1543,0,clear roads,0
R004,Nungambakkam_Rd_4,Nungambakkam,5,40,18.7,1131,1543,0,no incidents reported,0
R004,Nungambakkam_Rd_4,Nungambakkam,6,40,13.1,1415,1543,0,clear roads,0
R004,Nungambakkam_Rd_4,Nungambakkam,7,40,10.0,1543,1543,1,slight congestion due to signal,1
R004,Nungambakkam_Rd_4,Nungambakkam,8,40,8.1,1543,1543,0,traffic moving normally,0
R004,Nungambakkam_Rd_4,Nungambakkam,9,40,13.0,1543,1543,0,clear roads,0
R004,Nungambakkam_Rd_4,Nungambakkam,10,40,8.3,1543,1543,0,clear roads,0
R004,Nungambakkam_Rd_4,Nungambakkam,11,40,15.6,1543,1543,1,construction work causing delays,2
R004,Nungambakkam_Rd_4,Nungambakkam,12,40,16.0,1543,1543,0,clear roads,0
R004,Nungambakkam_Rd_4,Nungambakkam,13,40,11.9,1532,1543,0,traffic moving normally,0
R004,Nungambakkam_Rd_4,Nungambakkam,14,40,11.2,1220,1543,0,traffic moving normally,0
R004,Nungambakkam_Rd_4,Nungambakkam,15,40,16.6,1543,1543,1,accident reported minor injuries,2
R004,Nungambakkam_Rd_4,Nungambakkam,16,40,16.7,1232,1543,1,fatal accident blocked road,3
R004,Nungambakkam_Rd_4,Nungambakkam,17,40,12.4,1543,1543,0,no incidents reported,0
R004,Nungambakkam_Rd_4,Nungambakkam,18,40,11.8,1543,1543,0,no incidents reported,0
R004,Nungambakkam_Rd_4,Nungambakkam,19,40,11.4,1543,1543,1,fatal accident blocked road,3
R004,Nungambakkam_Rd_4,Nungambakkam,20,40,9.4,1543,1543,1,fatal accident blocked road,3
R004,Nungambakkam_Rd_4,Nungambakkam,21,40,16.7,1543,1543,0,no incidents reported,0
R004,Nungambakkam_Rd_4,Nungambakkam,22,40,16.8,1031,1543,0,traffic moving normally,0
R004,Nungambakkam_Rd_4,Nungambakkam,23,40,14.8,1125,1543,0,no incidents reported,0
R005,Nungambakkam_Rd_5,Nungambakkam,0,50,29.4,1482,1969,0,no incidents reported,0
R005,Nungambakkam_Rd_5,Nungambakkam,1,50,25.9,1214,1969,0,traffic moving normally,0
R005,Nungambakkam_Rd_5,Nungambakkam,2,50,22.3,1277,1969,1,major collision road closed,3
R005,Nungambakkam_Rd_5,Nungambakkam,3,50,26.7,1541,1969,0,traffic moving normally,0
R005,Nungambakkam_Rd_5,Nungambakkam,4,50,27.2,1485,1969,0,traffic moving normally,0
R005,Nungambakkam_Rd_5,Nungambakkam,5,50,25.8,1430,1969,0,no incidents reported,0
R005,Nungambakkam_Rd_5,Nungambakkam,6,50,19.6,1515,1969,0,clear roads,0
R005,Nungambakkam_Rd_5,Nungambakkam,7,50,10.5,1969,1969,1,minor fender bender cleared,1
R005,Nungambakkam_Rd_5,Nungambakkam,8,50,12.2,1969,1969,0,no incidents reported,0
R005,Nungambakkam_Rd_5,Nungambakkam,9,50,13.2,1969,1969,1,accident reported minor injuries,2
R005,Nungambakkam_Rd_5,Nungambakkam,10,50,12.4,1969,1969,0,no incidents reported,0
R005,Nungambakkam_Rd_5,Nungambakkam,11,50,23.9,1689,1969,0,traffic moving normally,0
R005,Nungambakkam_Rd_5,Nungambakkam,12,50,19.6,1718,1969,0,no incidents reported,0
R005,Nungambakkam_Rd_5,Nungambakkam,13,50,15.9,1497,1969,0,clear roads,0
R005,Nungambakkam_Rd_5,Nungambakkam,14,50,15.3,1969,1969,1,slight congestion due to signal,1
R005,Nungambakkam_Rd_5,Nungambakkam,15,50,21.5,1969,1969,0,no incidents reported,0
R005,Nungambakkam_Rd_5,Nungambakkam,16,50,19.7,1324,1969,0,no incidents reported,0
R005,Nungambakkam_Rd_5,Nungambakkam,17,50,15.3,1969,1969,1,slow traffic near junction,1
R005,Nungambakkam_Rd_5,Nungambakkam,18,50,14.7,1969,1969,0,traffic moving normally,0
R005,Nungambakkam_Rd_5,Nungambakkam,19,50,13.3,1969,1969,0,no incidents reported,0
R005,Nungambakkam_Rd_5,Nungambakkam,20,50,11.4,1969,1969,1,minor fender bender cleared,1
R005,Nungambakkam_Rd_5,Nungambakkam,21,50,16.5,1555,1969,1,slow traffic near junction,1
R005,Nungambakkam_Rd_5,Nungambakkam,22,50,20.8,1969,1969,1,slight congestion due to signal,1
R005,Nungambakkam_Rd_5,Nungambakkam,23,50,17.1,1845,1969,0,traffic moving normally,0
R006,Nungambakkam_Rd_6,Nungambakkam,0,50,22.5,880,1188,0,no incidents reported,0
R006,Nungambakkam_Rd_6,Nungambakkam,1,50,25.1,1022,1188,0,clear roads,0
R006,Nungambakkam_Rd_6,Nungambakkam,2,50,24.9,979,1188,1,vehicle breakdown lane blocked,2
R006,Nungambakkam_Rd_6,Nungambakkam,3,50,21.9,928,1188,1,slow traffic near junction,1
R006,Nungambakkam_Rd_6,Nungambakkam,4,50,27.5,783,1188,0,clear roads,0
R006,Nungambakkam_Rd_6,Nungambakkam,5,50,27.4,758,1188,1,slight congestion due to signal,1
R006,Nungambakkam_Rd_6,Nungambakkam,6,50,21.5,1188,1188,1,truck overturned blocking all lanes,3
R006,Nungambakkam_Rd_6,Nungambakkam,7,50,13.7,1188,1188,1,major collision road closed,3
R006,Nungambakkam_Rd_6,Nungambakkam,8,50,13.7,1188,1188,0,no incidents reported,0
R006,Nungambakkam_Rd_6,Nungambakkam,9,50,22.0,1188,1188,0,clear roads,0
R006,Nungambakkam_Rd_6,Nungambakkam,10,50,14.8,1188,1188,1,fatal accident blocked road,3
R006,Nungambakkam_Rd_6,Nungambakkam,11,50,21.9,948,1188,0,traffic moving normally,0
R006,Nungambakkam_Rd_6,Nungambakkam,12,50,16.1,1188,1188,0,clear roads,0
R006,Nungambakkam_Rd_6,Nungambakkam,13,50,17.4,909,1188,0,traffic moving normally,0
R006,Nungambakkam_Rd_6,Nungambakkam,14,50,23.8,1039,1188,1,vehicle breakdown lane blocked,2
R006,Nungambakkam_Rd_6,Nungambakkam,15,50,15.6,1064,1188,1,minor fender bender cleared,1
R006,Nungambakkam_Rd_6,Nungambakkam,16,50,19.1,850,1188,1,construction work causing delays,2
R006,Nungambakkam_Rd_6,Nungambakkam,17,50,16.2,1188,1188,0,no incidents reported,0
R006,Nungambakkam_Rd_6,Nungambakkam,18,50,11.7,1188,1188,1,major collision road closed,3
R006,Nungambakkam_Rd_6,Nungambakkam,19,50,15.2,1188,1188,1,accident reported minor injuries,2
R006,Nungambakkam_Rd_6,Nungambakkam,20,50,13.6,1188,1188,0,no incidents reported,0
R006,Nungambakkam_Rd_6,Nungambakkam,21,50,18.6,1086,1188,0,no incidents reported,0
R006,Nungambakkam_Rd_6,Nungambakkam,22,50,15.2,1159,1188,0,traffic moving normally,0
R006,Nungambakkam_Rd_6,Nungambakkam,23,50,20.7,917,1188,1,slow traffic near junction,1
R007,Nungambakkam_Rd_7,Nungambakkam,0,60,27.3,1042,1883,1,slight congestion due to signal,1
R007,Nungambakkam_Rd_7,Nungambakkam,1,60,29.4,1603,1883,0,clear roads,0
R007,Nungambakkam_Rd_7,Nungambakkam,2,60,31.2,1272,1883,1,truck overturned blocking all lanes,3
R007,Nungambakkam_Rd_7,Nungambakkam,3,60,32.3,1130,1883,0,no incidents reported,0
R007,Nungambakkam_Rd_7,Nungambakkam,4,60,28.3,1356,1883,0,no incidents reported,0
R007,Nungambakkam_Rd_7,Nungambakkam,5,60,27.7,1455,1883,0,clear roads,0
R007,Nungambakkam_Rd_7,Nungambakkam,6,60,20.5,1883,1883,1,vehicle breakdown lane blocked,2
R007,Nungambakkam_Rd_7,Nungambakkam,7,60,17.6,1883,1883,1,construction work causing delays,2
R007,Nungambakkam_Rd_7,Nungambakkam,8,60,21.2,1883,1883,0,traffic moving normally,0
R007,Nungambakkam_Rd_7,Nungambakkam,9,60,17.9,1883,1883,0,no incidents reported,0
R007,Nungambakkam_Rd_7,Nungambakkam,10,60,18.7,1883,1883,1,minor fender bender cleared,1
R007,Nungambakkam_Rd_7,Nungambakkam,11,60,22.2,1340,1883,0,no incidents reported,0
R007,Nungambakkam_Rd_7,Nungambakkam,12,60,22.9,1802,1883,1,truck overturned blocking all lanes,3
R007,Nungambakkam_Rd_7,Nungambakkam,13,60,23.9,1492,1883,0,traffic moving normally,0
R007,Nungambakkam_Rd_7,Nungambakkam,14,60,11.9,1554,1883,1,slow traffic near junction,1
R007,Nungambakkam_Rd_7,Nungambakkam,15,60,21.2,1573,1883,0,traffic moving normally,0
R007,Nungambakkam_Rd_7,Nungambakkam,16,60,29.2,1720,1883,0,no incidents reported,0
R007,Nungambakkam_Rd_7,Nungambakkam,17,60,11.9,1883,1883,1,truck overturned blocking all lanes,3
R007,Nungambakkam_Rd_7,Nungambakkam,18,60,20.5,1883,1883,0,traffic moving normally,0
R007,Nungambakkam_Rd_7,Nungambakkam,19,60,11.9,1883,1883,0,no incidents reported,0
R007,Nungambakkam_Rd_7,Nungambakkam,20,60,13.3,1883,1883,0,no incidents reported,0
R007,Nungambakkam_Rd_7,Nungambakkam,21,60,25.7,1725,1883,0,no incidents reported,0
R007,Nungambakkam_Rd_7,Nungambakkam,22,60,24.5,1883,1883,0,no incidents reported,0
R007,Nungambakkam_Rd_7,Nungambakkam,23,60,23.1,1676,1883,0,clear roads,0
R008,Nungambakkam_Rd_8,Nungambakkam,0,40,23.0,1053,1524,0,traffic moving normally,0
R008,Nungambakkam_Rd_8,Nungambakkam,1,40,17.3,1095,1524,0,clear roads,0
R008,Nungambakkam_Rd_8,Nungambakkam,2,40,19.5,1297,1524,1,accident reported minor injuries,2
R008,Nungambakkam_Rd_8,Nungambakkam,3,40,21.0,1270,1524,0,no incidents reported,0
R008,Nungambakkam_Rd_8,Nungambakkam,4,40,20.4,865,1524,0,no incidents reported,0
R008,Nungambakkam_Rd_8,Nungambakkam,5,40,18.6,985,1524,1,vehicle breakdown lane blocked,2
R008,Nungambakkam_Rd_8,Nungambakkam,6,40,15.0,1086,1524,0,traffic moving normally,0
R008,Nungambakkam_Rd_8,Nungambakkam,7,40,11.6,1524,1524,0,clear roads,0
R008,Nungambakkam_Rd_8,Nungambakkam,8,40,11.7,1524,1524,0,traffic moving normally,0
R008,Nungambakkam_Rd_8,Nungambakkam,9,40,10.5,1524,1524,1,major collision road closed,3
R008,Nungambakkam_Rd_8,Nungambakkam,10,40,8.2,1524,1524,1,fatal accident blocked road,3
R008,Nungambakkam_Rd_8,Nungambakkam,11,40,15.1,1494,1524,0,no incidents reported,0
R008,Nungambakkam_Rd_8,Nungambakkam,12,40,14.4,1391,1524,1,slow traffic near junction,1
R008,Nungambakkam_Rd_8,Nungambakkam,13,40,14.6,1524,1524,0,no incidents reported,0
R008,Nungambakkam_Rd_8,Nungambakkam,14,40,15.5,1524,1524,1,accident reported minor injuries,2
R008,Nungambakkam_Rd_8,Nungambakkam,15,40,15.8,1270,1524,0,traffic moving normally,0
R008,Nungambakkam_Rd_8,Nungambakkam,16,40,17.9,1077,1524,0,traffic moving normally,0
R008,Nungambakkam_Rd_8,Nungambakkam,17,40,12.4,1524,1524,0,clear roads,0
R008,Nungambakkam_Rd_8,Nungambakkam,18,40,13.4,1524,1524,0,clear roads,0
R008,Nungambakkam_Rd_8,Nungambakkam,19,40,10.8,1524,1524,1,fatal accident blocked road,3
R008,Nungambakkam_Rd_8,Nungambakkam,20,40,11.4,1524,1524,1,construction work causing delays,2
R008,Nungambakkam_Rd_8,Nungambakkam,21,40,15.9,1355,1524,1,construction work causing delays,2
R008,Nungambakkam_Rd_8,Nungambakkam,22,40,14.6,1189,1524,1,minor fender bender cleared,1
R008,Nungambakkam_Rd_8,Nungambakkam,23,40,20.4,1210,1524,0,traffic moving normally,0
R009,Nungambakkam_Rd_9,Nungambakkam,0,80,44.2,1472,1847,1,accident reported minor injuries,2
R009,Nungambakkam_Rd_9,Nungambakkam,1,80,42.8,1471,1847,0,clear roads,0
R009,Nungambakkam_Rd_9,Nungambakkam,2,80,39.6,1041,1847,0,clear roads,0
R009,Nungambakkam_Rd_9,Nungambakkam,3,80,36.0,1330,1847,0,clear roads,0
R009,Nungambakkam_Rd_9,Nungambakkam,4,80,43.5,1213,1847,0,clear roads,0
R009,Nungambakkam_Rd_9,Nungambakkam,5,80,39.0,1076,1847,0,no incidents reported,0
R009,Nungambakkam_Rd_9,Nungambakkam,6,80,34.1,1675,1847,0,no incidents reported,0
R009,Nungambakkam_Rd_9,Nungambakkam,7,80,17.5,1847,1847,0,traffic moving normally,0
R009,Nungambakkam_Rd_9,Nungambakkam,8,80,20.8,1847,1847,0,clear roads,0
R009,Nungambakkam_Rd_9,Nungambakkam,9,80,17.8,1847,1847,0,clear roads,0
R009,Nungambakkam_Rd_9,Nungambakkam,10,80,17.9,1847,1847,0,clear roads,0
R009,Nungambakkam_Rd_9,Nungambakkam,11,80,33.3,1847,1847,0,traffic moving normally,0
R009,Nungambakkam_Rd_9,Nungambakkam,12,80,23.0,1847,1847,1,construction work causing delays,2
R009,Nungambakkam_Rd_9,Nungambakkam,13,80,23.2,1847,1847,0,no incidents reported,0
R009,Nungambakkam_Rd_9,Nungambakkam,14,80,25.9,1847,1847,0,traffic moving normally,0
R009,Nungambakkam_Rd_9,Nungambakkam,15,80,31.5,1632,1847,0,no incidents reported,0
R009,Nungambakkam_Rd_9,Nungambakkam,16,80,35.8,1311,1847,0,traffic moving normally,0
R009,Nungambakkam_Rd_9,Nungambakkam,17,80,21.0,1847,1847,0,no incidents reported,0
R009,Nungambakkam_Rd_9,Nungambakkam,18,80,21.5,1847,1847,1,accident reported minor injuries,2
R009,Nungambakkam_Rd_9,Nungambakkam,19,80,20.4,1847,1847,0,clear roads,0
R009,Nungambakkam_Rd_9,Nungambakkam,20,80,22.9,1847,1847,0,traffic moving normally,0
R009,Nungambakkam_Rd_9,Nungambakkam,21,80,29.1,1650,1847,0,traffic moving normally,0
R009,Nungambakkam_Rd_9,Nungambakkam,22,80,32.0,1436,1847,0,clear roads,0
R009,Nungambakkam_Rd_9,Nungambakkam,23,80,34.0,1847,1847,0,clear roads,0
R010,Nungambakkam_Rd_10,Nungambakkam,0,50,25.3,553,973,0,clear roads,0
R010,Nungambakkam_Rd_10,Nungambakkam,1,50,24.8,702,973,0,traffic moving normally,0
R010,Nungambakkam_Rd_10,Nungambakkam,2,50,24.8,725,973,1,accident reported minor injuries,2
R010,Nungambakkam_Rd_10,Nungambakkam,3,50,26.0,746,973,0,no incidents reported,0
R010,Nungambakkam_Rd_10,Nungambakkam,4,50,30.1,711,973,0,no incidents reported,0
R010,Nungambakkam_Rd_10,Nungambakkam,5,50,22.8,809,973,1,accident reported minor injuries,2
R010,Nungambakkam_Rd_10,Nungambakkam,6,50,25.7,753,973,0,clear roads,0
R010,Nungambakkam_Rd_10,Nungambakkam,7,50,10.4,973,973,0,no incidents reported,0
R010,Nungambakkam_Rd_10,Nungambakkam,8,50,7.5,973,973,0,clear roads,0
R010,Nungambakkam_Rd_10,Nungambakkam,9,50,11.1,973,973,0,clear roads,0
R010,Nungambakkam_Rd_10,Nungambakkam,10,50,13.2,973,973,0,traffic moving normally,0
R010,Nungambakkam_Rd_10,Nungambakkam,11,50,24.9,956,973,0,no incidents reported,0
R010,Nungambakkam_Rd_10,Nungambakkam,12,50,15.8,973,973,0,no incidents reported,0
R010,Nungambakkam_Rd_10,Nungambakkam,13,50,19.2,973,973,0,no incidents reported,0
R010,Nungambakkam_Rd_10,Nungambakkam,14,50,14.7,973,973,0,no incidents reported,0
R010,Nungambakkam_Rd_10,Nungambakkam,15,50,24.8,973,973,1,slight congestion due to signal,1
R010,Nungambakkam_Rd_10,Nungambakkam,16,50,23.2,973,973,0,clear roads,0
R010,Nungambakkam_Rd_10,Nungambakkam,17,50,12.3,973,973,1,major collision road closed,3
R010,Nungambakkam_Rd_10,Nungambakkam,18,50,9.2,973,973,0,traffic moving normally,0
R010,Nungambakkam_Rd_10,Nungambakkam,19,50,16.9,973,973,0,clear roads,0
R010,Nungambakkam_Rd_10,Nungambakkam,20,50,13.2,973,973,0,traffic moving normally,0
R010,Nungambakkam_Rd_10,Nungambakkam,21,50,23.3,752,973,0,clear roads,0
R010,Nungambakkam_Rd_10,Nungambakkam,22,50,20.3,939,973,0,traffic moving normally,0
R010,Nungambakkam_Rd_10,Nungambakkam,23,50,20.4,973,973,0,clear roads,0
R011,Nungambakkam_Rd_11,Nungambakkam,0,80,37.8,774,1125,0,traffic moving normally,0
R011,Nungambakkam_Rd_11,Nungambakkam,1,80,42.1,659,1125,0,no incidents reported,0
R011,Nungambakkam_Rd_11,Nungambakkam,2,80,40.1,695,1125,0,traffic moving normally,0
R011,Nungambakkam_Rd_11,Nungambakkam,3,80,41.7,854,1125,0,clear roads,0
R011,Nungambakkam_Rd_11,Nungambakkam,4,80,33.5,654,1125,0,no incidents reported,0
R011,Nungambakkam_Rd_11,Nungambakkam,5,80,44.7,854,1125,0,no incidents reported,0
R011,Nungambakkam_Rd_11,Nungambakkam,6,80,38.6,977,1125,0,no incidents reported,0
R011,Nungambakkam_Rd_11,Nungambakkam,7,80,20.3,1125,1125,1,vehicle breakdown lane blocked,2
R011,Nungambakkam_Rd_11,Nungambakkam,8,80,28.0,1125,1125,0,no incidents reported,0
R011,Nungambakkam_Rd_11,Nungambakkam,9,80,26.8,1125,1125,1,accident reported minor injuries,2
R011,Nungambakkam_Rd_11,Nungambakkam,10,80,22.4,1125,1125,0,no incidents reported,0
R011,Nungambakkam_Rd_11,Nungambakkam,11,80,37.9,843,1125,0,no incidents reported,0
R011,Nungambakkam_Rd_11,Nungambakkam,12,80,33.0,1036,1125,0,traffic moving normally,0
R011,Nungambakkam_Rd_11,Nungambakkam,13,80,21.8,1059,1125,0,traffic moving normally,0
R011,Nungambakkam_Rd_11,Nungambakkam,14,80,27.7,1096,1125,1,minor fender bender cleared,1
R011,Nungambakkam_Rd_11,Nungambakkam,15,80,35.3,1092,1125,0,clear roads,0
R011,Nungambakkam_Rd_11,Nungambakkam,16,80,38.9,1125,1125,0,no incidents reported,0
R011,Nungambakkam_Rd_11,Nungambakkam,17,80,16.1,1125,1125,0,clear roads,0
R011,Nungambakkam_Rd_11,Nungambakkam,18,80,14.8,1125,1125,1,fatal accident blocked road,3
R011,Nungambakkam_Rd_11,Nungambakkam,19,80,21.4,1125,1125,0,traffic moving normally,0
R011,Nungambakkam_Rd_11,Nungambakkam,20,80,13.3,1125,1125,0,traffic moving normally,0
R011,Nungambakkam_Rd_11,Nungambakkam,21,80,32.0,855,1125,0,clear roads,0
R011,Nungambakkam_Rd_11,Nungambakkam,22,80,33.9,829,1125,0,clear roads,0
R011,Nungambakkam_Rd_11,Nungambakkam,23,80,28.6,901,1125,0,traffic moving normally,0
R012,Nungambakkam_Rd_12,Nungambakkam,0,50,24.6,1029,1358,0,no incidents reported,0
R012,Nungambakkam_Rd_12,Nungambakkam,1,50,27.1,815,1358,0,clear roads,0
R012,Nungambakkam_Rd_12,Nungambakkam,2,50,23.4,817,1358,0,traffic moving normally,0
R012,Nungambakkam_Rd_12,Nungambakkam,3,50,22.8,779,1358,0,traffic moving normally,0
R012,Nungambakkam_Rd_12,Nungambakkam,4,50,24.5,829,1358,0,clear roads,0
R012,Nungambakkam_Rd_12,Nungambakkam,5,50,22.2,898,1358,0,traffic moving normally,0
R012,Nungambakkam_Rd_12,Nungambakkam,6,50,25.2,926,1358,0,clear roads,0
R012,Nungambakkam_Rd_12,Nungambakkam,7,50,12.5,1358,1358,1,minor fender bender cleared,1
R012,Nungambakkam_Rd_12,Nungambakkam,8,50,10.6,1358,1358,1,slow traffic near junction,1
R012,Nungambakkam_Rd_12,Nungambakkam,9,50,12.9,1358,1358,1,construction work causing delays,2
R012,Nungambakkam_Rd_12,Nungambakkam,10,50,12.1,1358,1358,0,no incidents reported,0
R012,Nungambakkam_Rd_12,Nungambakkam,11,50,19.7,1300,1358,0,traffic moving normally,0
R012,Nungambakkam_Rd_12,Nungambakkam,12,50,16.7,1238,1358,0,traffic moving normally,0
